,name,accuracy,macro_f1,micro_f1,mrr,overfit
0,Tabular,0.0061303234647145,0.0007614838481191,0.0061303234647145,0.5030651617323573,0.8495400760374977
1,GraphSAGE_shallow,0.1761326073107112,0.0589928778976711,0.1761326073107112,0.2789345089662373,0.8066766328934598
2,GraphSAGE_medium,0.5255009435890039,0.2765574475232992,0.5255009435890039,0.6410873049245,0.7396759078447941
3,GraphSAGE_deep,0.3883740218528001,0.1429983951481636,0.3883740218528001,0.5255254480943298,0.7510996829169867
4,RelGNN_shallow,0.1682593487432837,0.0465454261331289,0.1682593487432837,0.2683640291111925,0.8466703205886177
5,RelGNN_medium,0.5601432812856851,0.3214576068244955,0.5601432812856851,0.6706721656317489,0.744741173117075
6,RelGNN_deep,0.4365751926243794,0.1977093954165108,0.4365751926243794,0.5728759919800669,0.7338526365483365
7,DBFormer_shallow,0.1195773682881973,0.0254362992050678,0.1195773682881973,0.211101805231979,0.8032793612795761
8,DBFormer_medium,0.3701873955741468,0.1820194931645069,0.3701873955741468,0.4947478477842367,0.7410473011884041
9,DBFormer_deep,0.3594773598740278,0.1632717047420962,0.3594773598740278,0.4935337313748523,0.7515215127641257
10,RelGT_shallow,0.18555647710744894,0.07069686399770034,0.18555647710744894,0.29971708005229747,0.6898392833785625
11,RelGT_medium,0.19375428221124374,0.07618780364025345,0.19375428221124374,0.3086083071600193,0.7183004802097969
12,RelGT_deep,0.18447465531955815,0.06846151421491474,0.18447465531955815,0.29921615433569765,0.6919903036731483
13,GraphSAGE-boost,0.5317875302008582,0.2876652602467399,0.5317875302008582,0.6531545735661464,0.740113909444596
14,GraphSAGE-rev_boost,0.5310663156755977,0.3012474235417777,0.5310663156755977,0.6511222782306344,0.7418848375928773
15,RelGNN-boost,0.5689180580096883,0.3192321040077653,0.5689180580096883,0.6848964183670389,0.7608224348401338
16,RelGNN-rev_boost,0.5679444184005866,0.3252567303463252,0.5679444184005866,0.6858728920264184,0.7590344386356145
17,DBFormer-boost,0.3866431069921748,0.1846563718107146,0.3866431069921748,0.5187449606458812,0.773993169162635
18,DBFormer-rev_boost,0.3798757106968134,0.1844479952562085,0.3798757106968134,0.5162623173689878,0.7615608752354773
19,RelGT-boost,0.172250069116392,0.06625713449304448,0.172250069116392,0.29483198843179,0.6784928249732122
20,RelGT-rev_boost,0.17645715384707847,0.07280630695882445,0.17645715384707847,0.2987551376403085,0.6937403040268063
21,All-shallow,0.1798588823578907,0.06119431076695801,0.1798588823578907,0.2918852004230614,0.750733453219415
22,All-medium,0.5534600266849374,0.3184096501255338,0.5534600266849374,0.6716597420416872,0.7461372634608161
23,All-deep,0.5009556092459703,0.2747777183066474,0.5009556092459703,0.6270241340387226,0.7637923721807159
24,All-boost,0.5091654345918527,0.2754849032310533,0.5091654345918527,0.6343445471715902,0.7296927790528752
25,GraphSAGE+RelGNN-boost,0.5459593956222278,0.2981007761561769,0.5459593956222278,0.6665353261292223,0.7510272324450872
26,GraphSAGE+DBFormer-boost,0.5079634103830851,0.2621107203100093,0.5079634103830851,0.62285741079195,0.7551189261752969
27,GraphSAGE+RelGT-boost,0.5074585602154027,0.27705422069455327,0.5074585602154027,0.6319186322703374,0.7342245894119012
28,RelGNN+DBFormer-boost,0.5454785859387208,0.2975280259714356,0.5454785859387208,0.6587732841175103,0.7585266061613961
29,RelGNN+RelGT-boost,0.548880314449533,0.30139530951157273,0.548880314449533,0.6643346953598468,0.7477167354037909
30,DBFormer+RelGT-boost,0.45616818722729074,0.25015273585816866,0.45616818722729074,0.5809021421009902,0.7670749054853814
