,name,accuracy,macro_f1,micro_f1,mrr,overfit
0,Tabular,0.580488289249941,0.0612140240876049,0.580488289249941,0.7902441446249705,0.907785342051695
1,GraphSAGE_shallow,0.7017910558913699,0.4688511804299436,0.7017910558913699,0.8119646132315711,0.7606576553293702
2,GraphSAGE_medium,0.7111919272158576,0.3987884414441542,0.7111919272158576,0.8133560858554962,0.8701053930627876
3,GraphSAGE_deep,0.7030223292415009,0.3928465209112143,0.7030223292415009,0.8051976095433714,0.8243318501208312
4,RelGNN_shallow,0.7148733352365112,0.4583395491169665,0.7148733352365112,0.8172085182130238,0.7998333955468155
5,RelGNN_medium,0.7216403738503357,0.468481459989909,0.7216403738503357,0.827185842795894,0.8092503556135705
6,RelGNN_deep,0.7155113135651073,0.4030227847740621,0.7155113135651073,0.8178428911425052,0.8643381312362973
7,DBFormer_shallow,0.6432683356709322,0.2221879492964976,0.6432683356709322,0.7515023664080969,0.8958777395344582
8,DBFormer_medium,0.6210210135663485,0.1333986370382445,0.6210210135663485,0.7340906848504872,0.910183979095884
9,DBFormer_deep,0.6463688606997903,0.1919402461209374,0.6463688606997903,0.7584038102889493,0.8814993405879278
10,RelGT_shallow,0.6658433353606316,0.4135045808400636,0.6658433353606316,0.7891636067789456,0.6990235273803181
11,RelGT_medium,0.6646170268223963,0.4076477048231968,0.6646170268223963,0.785654540507644,0.707292916266493
12,RelGT_deep,0.6627502575496171,0.3515568574216539,0.6627502575496171,0.7843966843689436,0.715830569320705
13,GraphSAGE-boost,0.7230776868941378,0.4835997659523239,0.7230776868941378,0.8282415766422866,0.7506596063626737
14,GraphSAGE-rev_boost,0.7231397470428339,0.4849142472214274,0.7231397470428339,0.8290557425688434,0.751970936661779
15,RelGNN-boost,0.7240085891245795,0.4681774842942392,0.7240085891245795,0.826540371219272,0.7916373410843546
16,RelGNN-rev_boost,0.728074770067149,0.4843104767080111,0.728074770067149,0.8291172159670429,0.8011863231210656
