,name,accuracy,macro_f1,micro_f1,mrr,overfit
0,GraphSAGE_shallow,0.8021198084321268,0.3598731848015637,0.8021198084321268,0.89688702206171,0.9128996904912083
1,GraphSAGE_medium,0.8041532542985005,0.373782470015402,0.8041532542985005,0.8978880427102144,0.9178467104291204
2,GraphSAGE_deep,0.8033131820679908,0.37273501920400237,0.8033131820679908,0.8974680065949596,0.9202778211211307
3,RelGNN_shallow,0.794072387532386,0.3133897881158056,0.794072387532386,0.8928476093271571,0.9119984925809923
4,RelGNN_medium,0.7974562298814477,0.32981906089310054,0.7974562298814477,0.894539530501688,0.9151628277006282
5,RelGNN_deep,0.7962942608149486,0.3222534950044444,0.7962942608149486,0.8939585459684384,0.9127990095171674
6,DBFormer_shallow,0.7846274632959096,0.29362625105084206,0.7846274632959096,0.8880937426395541,0.9044477586086679
7,DBFormer_medium,0.7916699379759755,0.29545966608446944,0.7916699379759755,0.8916463845489518,0.920505569302868
8,DBFormer_deep,0.8006673470990029,0.3812593666312986,0.8006673470990029,0.8961477061579126,0.9181569891699547
9,RelGT_shallow,0.8068147915521708,0.41826584054885796,0.8068147915521708,0.8992920886655674,0.9104065936078789
10,RelGT_medium,0.8015780796105834,0.3465095261477644,0.8015780796105834,0.8966318599356207,0.9136328949432642
11,RelGT_deep,0.8083693177357305,0.4354818951625268,0.8083693177357305,0.9002420768888539,0.9114564905679311
12,GraphSAGE-boost,0.806414383292769,0.3919671023333004,0.806414383292769,0.8990303839208604,0.9173635737884245
13,GraphSAGE-rev_boost,0.803650781188663,0.37631978048719866,0.803650781188663,0.8976368061552956,0.9174857394085656
14,RelGNN-boost,0.8051267959488105,0.4146975295867314,0.8051267959488105,0.8983748135353694,0.9220327449567489
15,RelGNN-rev_boost,0.8023160869906572,0.3673562340865088,0.8023160869906572,0.8969694590562927,0.9174126417491024
16,DBFormer-boost,0.7962236005338776,0.32944489626707923,0.7962236005338776,0.8939232158279029,0.9168388775012413
17,DBFormer-rev_boost,0.8037449948967574,0.38391780120697794,0.8037449948967574,0.8976839130093428,0.9213940318988323
18,RelGT-boost,0.809280050247311,0.45979314851045844,0.809280050247311,0.9005155583470729,0.9186190727123179
19,RelGT-rev_boost,0.8109837481353537,0.4267109153061602,0.8109837481353537,0.9013778754808824,0.9149381286774335
20,All-shallow,0.8095626913715945,0.4126501072061166,0.8095626913715945,0.9005927612467614,0.9169944399817734
21,All-medium,0.8051739028028578,0.383478954954215,0.8051739028028578,0.8983983669623931,0.9142220146801892
22,All-deep,0.812153568344194,0.4519604428610773,0.812153568344194,0.9018908167805082,0.9207758684581383
23,All-boost,0.8114155609641203,0.4392006507465303,0.8114155609641203,0.9015205045667477,0.9191187337716255
24,GraphSAGE+RelGNN-boost,0.806634215278323,0.42029132093728544,0.806634215278323,0.8991285232001256,0.92192936165042
25,GraphSAGE+DBFormer-boost,0.8066734709900291,0.3988512322863967,0.8066734709900291,0.8991481510559787,0.9191088005543632
26,GraphSAGE+RelGT-boost,0.8073643715160556,0.4016310412180659,0.8073643715160556,0.8995629530763394,0.9098840611406487
27,RelGNN+DBFormer-boost,0.8024888121221637,0.3910900649715919,0.8024888121221637,0.897055821622046,0.9185917368766269
28,RelGNN+RelGT-boost,0.8110151527047186,0.44864135355484175,0.8110151527047186,0.9013634817199236,0.9164447923936866
29,DBFormer+RelGT-boost,0.8048048991128209,0.37100265433242124,0.8048048991128209,0.8982138651173746,0.9107355605046494
