,name,accuracy,macro_f1,micro_f1,mrr,overfit
0,Tabular,0.9987857255289965,0.16656541565415653,0.9987857255289965,0.9993928627644982,1.0023891226411457
1,GraphSAGE_shallow,0.9987857255289965,0.16656541565415653,0.9987857255289965,0.9991169294203857,1.0023891226411457
2,GraphSAGE_medium,0.9996289716894156,0.5029569712801274,0.9996289716894156,0.9997975084886779,1.0017354667044391
3,GraphSAGE_deep,0.9990330777360527,0.2861657419379942,0.9990330777360527,0.9994040700104765,1.002315342485698
4,RelGNN_shallow,0.9987857255289965,0.16656541565415653,0.9987857255289965,0.9991187140683442,1.0023891226411457
5,RelGNN_medium,0.9990218344539138,0.27002869684273145,0.9990218344539138,0.9994410791475171,1.0021918466387585
6,RelGNN_deep,0.9992017269681366,0.28520295688744135,0.9992017269681366,0.9994414189794325,1.0025288563420893
7,DBFormer_shallow,0.9987857255289965,0.16656541565415653,0.9987857255289965,0.9991299702737959,1.0023891226411457
8,DBFormer_medium,0.9987857255289965,0.16656541565415653,0.9987857255289965,0.9990694800927875,1.0023891226411457
9,DBFormer_deep,0.9987857255289965,0.16656541565415653,0.9987857255289965,0.999214309304302,1.0023891226411457
10,RelGT_shallow,0.9987857255289965,0.16656541565415653,0.9987857255289965,0.9991308942906615,1.0023891226411457
11,RelGT_medium,0.9987857255289965,0.16656541565415653,0.9987857255289965,0.9991484354402592,1.0023891226411457
12,RelGT_deep,0.9987857255289965,0.16656541565415653,0.9987857255289965,0.9991421375728003,1.0023891226411457
13,GraphSAGE-boost,0.9987857255289965,0.16656541565415653,0.9987857255289965,0.9993569995773678,1.0023891226411457
14,GraphSAGE-rev_boost,0.9987969688111353,0.1727391921054322,0.9987969688111353,0.9993879024929664,1.0020430265874818
15,RelGNN-boost,0.9987857255289965,0.16656541565415653,0.9987857255289965,0.9992807313934272,1.0023891226411457
16,RelGNN-rev_boost,0.9987857255289965,0.16656541565415653,0.9987857255289965,0.9993502989106866,1.0023891226411457
17,DBFormer-boost,0.9987857255289965,0.16656541565415653,0.9987857255289965,0.9991090323531691,1.0023891226411457
18,DBFormer-rev_boost,0.9987857255289965,0.16656541565415653,0.9987857255289965,0.999103048859341,1.0023891226411457
19,RelGT-boost,0.9987857255289965,0.16656541565415653,0.9987857255289965,0.9993801471477936,1.0023891226411457
