,name,average_precision,accuracy,f1,roc_auc,overfit
0,Tabular,0.8611690341311625,0.8505909380276232,0.9192641340113672,0.5306194338184349,0.9003214973159359
1,GraphSAGE_shallow,0.91756198517846,0.8505909380276232,0.9192641340113672,0.6639461417157615,0.9786921319036324
2,GraphSAGE_medium,0.9183714512738,0.8505909380276232,0.9192641340113672,0.6673986344761783,0.9853970362325803
3,GraphSAGE_deep,0.915531495358312,0.8505909380276232,0.9192641340113672,0.6576637888378459,0.96963123251043
4,RelGNN_shallow,0.9083368655361312,0.8505909380276232,0.9192641340113672,0.6392468631066246,1.0257814365361424
5,RelGNN_medium,0.8749007146951719,0.8505909380276232,0.9192641340113672,0.5434652634631394,1.0346478842818645
6,RelGNN_deep,0.9049003615873018,0.8505909380276232,0.9192641340113672,0.6339625815661362,1.0210133517237638
7,DBFormer_shallow,0.8957704980211986,0.8505909380276232,0.9192641340113672,0.6242581061934254,0.9972716104627056
8,DBFormer_medium,0.8955182915105132,0.8505909380276232,0.9192641340113672,0.623833184703094,1.0198531266762856
9,DBFormer_deep,0.8970142717549534,0.8505909380276232,0.9192641340113672,0.6283573234519733,0.9944672421462531
10,RelGT_shallow,0.917375214305348,0.8505909380276232,0.9192641340113671,0.6681313367260822,0.9681964116352011
11,RelGT_medium,0.9150160763885625,0.8505909380276232,0.9192641340113671,0.6647569367814649,0.9609067984339257
12,RelGT_deep,0.9160948204353222,0.8505909380276232,0.9192641340113671,0.6637282088370866,0.983269046760483
13,GraphSAGE-boost,0.9198450420642248,0.8505909380276232,0.9192641340113672,0.6692168325925252,0.9803867844754308
14,GraphSAGE-rev_boost,0.9185348193360148,0.8505909380276232,0.9192641340113672,0.6684016549974237,0.9801559873038538
15,RelGNN-boost,0.9100246425550572,0.8505909380276232,0.9192641340113672,0.6473464194415322,1.0036026388146584
16,RelGNN-rev_boost,0.9111591312075762,0.8505909380276232,0.9192641340113672,0.6465422584523108,1.0193896227224757
17,DBFormer-boost,0.9078580040727292,0.8505909380276232,0.9192641340113672,0.6497419057907127,1.0021468557113784
18,DBFormer-rev_boost,0.9021664757865308,0.8505909380276232,0.9192641340113672,0.6430309150134232,1.0013328821309038
19,RelGT-boost,0.9192901309325658,0.8505909380276232,0.9192641340113671,0.6700709676790084,0.9696170731646903
20,RelGT-rev_boost,0.9177807940650737,0.8505909380276232,0.9192641340113671,0.6628883697182337,0.9803817223046741
21,All-shallow,0.9197134120565774,0.8505909380276232,0.9192641340113671,0.6685964243696171,0.975102509302334
22,All-medium,0.9199511275551615,0.8505909380276232,0.9192641340113671,0.6700045364906095,0.9755009869340757
23,All-deep,0.9190947854717243,0.8505909380276232,0.9192641340113671,0.6667997741918306,0.9702339938830435
24,All-boost,0.9199077952088452,0.8505909380276232,0.9192641340113671,0.6703772805625032,0.9716608731682211
25,GraphSAGE+RelGNN-boost,0.9195815024961354,0.8505909380276232,0.9192641340113672,0.6678536730461143,0.9793644005334858
26,GraphSAGE+DBFormer-boost,0.9198853787880136,0.8505909380276232,0.9192641340113672,0.6698610282446003,0.9811729100561556
27,GraphSAGE+RelGT-boost,0.9200581005098158,0.8505909380276232,0.9192641340113671,0.6709223719734461,0.9735420458434687
28,RelGNN+DBFormer-boost,0.9067285779399576,0.8505909380276232,0.9192641340113672,0.6470781899548351,1.000059012087535
29,RelGNN+RelGT-boost,0.9192272367842689,0.8505909380276232,0.9192641340113671,0.6694622482105748,0.9725229961003942
30,DBFormer+RelGT-boost,0.9175344190080603,0.8505909380276232,0.9192641340113671,0.6644471395761103,0.9778651670225239
