,name,average_precision,accuracy,f1,roc_auc,overfit
0,Tabular,0.3258881131384404,0.7220286658571639,0.1835839847625094,0.5695718125730579,0.8660060540662392
1,GraphSAGE_shallow,0.5605823413365787,0.7655188952481959,0.5027255470792593,0.7137254072029561,0.7543418523912658
2,GraphSAGE_medium,0.5435598631588544,0.7640867845568479,0.4917037813291415,0.7119826942638308,0.7484385227917153
3,GraphSAGE_deep,0.5639984976590816,0.7690366860147974,0.5140893861497301,0.7315733248543832,0.7905648393700704
4,RelGNN_shallow,0.4825146195314606,0.7460013206492461,0.451697575309056,0.7270390665630592,1.080966687893393
5,RelGNN_medium,0.5152403711337393,0.7609354655119711,0.4343607898921929,0.7244096442580252,0.9487772098380812
6,RelGNN_deep,0.5568931508465994,0.7757497048804913,0.4869165378670788,0.7297862253710938,0.8226306352647352
7,DBFormer_shallow,0.3983359577253131,0.7380588482655079,0.0,0.683557374812441,1.1263568508244757
8,DBFormer_medium,0.4255151593576782,0.740615706268693,0.123665576875895,0.693754295576188,1.1460535294314629
9,DBFormer_deep,0.4122235956839146,0.7301281975502125,0.3566243523003152,0.695917670796187,1.1289650763120436
10,RelGT_shallow,0.4904171660113504,0.7665879118373744,0.32233897025295044,0.6745387973932646,0.8261327116837754
11,RelGT_medium,0.5009575282678083,0.7665592020711564,0.3887719546491678,0.7100084609146087,0.8750905689182555
12,RelGT_deep,0.4860510640941461,0.7557761516416075,0.3812156350955264,0.721050075705057,0.9910910350133979
13,GraphSAGE-boost,0.5899235725897644,0.776828854328335,0.5209166415911076,0.7445026290953741,0.7779797893843577
14,GraphSAGE-rev_boost,0.6015368743166785,0.7820759863071304,0.5224773154521367,0.7568790371963996,0.810230803625023
15,RelGNN-boost,0.5803305356370074,0.7812839345214673,0.4746660609182767,0.7599961523144101,0.9167994167405288
16,RelGNN-rev_boost,0.5866776116932848,0.7845213828649983,0.4924418419628934,0.7552611194071885,0.854849388387149
17,DBFormer-boost,0.4329820546314823,0.7382023970965982,0.0029842490818931,0.7003482496363488,1.132487491718406
18,DBFormer-rev_boost,0.4331839063398348,0.7446249406805565,0.2787767210706552,0.7012514985226953,1.1336859184167825
19,RelGT-rev_boost,0.5468343302275808,0.7757598377391566,0.40911558692382316,0.7418297158358838,0.9070868869164342
20,All-shallow,0.5972285280955152,0.7891723649923243,0.5252116500718812,0.7359160514375174,0.7449532866223703
