,name,r2,mae,rmse,overfit
0,Tabular,0.1662045080037644,0.06608968707416105,0.33701476999192737,0.7361806560838149
1,GraphSAGE_shallow,0.2005118727684021,0.0673896074295044,0.33000853657722473,0.7942164470051716
2,GraphSAGE_medium,0.21599406003952026,0.06532986462116241,0.32679757475852966,0.7721699448684411
3,GraphSAGE_deep,0.24828439950942993,0.06601352989673615,0.31999701261520386,0.7906746258384901
4,RelGNN_shallow,-0.03382599353790283,0.06791792064905167,0.3752691447734833,0.7297944687568124
5,RelGNN_medium,-0.03385448455810547,0.06790897250175476,0.37527433037757874,0.7297662072467979
6,RelGNN_deep,-0.03377950191497803,0.06796736270189285,0.37526071071624756,0.7299482818688559
7,DBFormer_shallow,0.1533348560333252,0.06671185791492462,0.3396057188510895,0.7638702128193224
8,DBFormer_medium,0.09622418880462646,0.067500539124012,0.35087263584136963,0.7543342227099523
9,DBFormer_deep,0.10133779048919678,0.06681099534034729,0.34987860918045044,0.7541303539565727
10,RelGT_shallow,0.2611986994743347,0.06505677103996277,0.31723636388778687,0.7824415951508144
11,RelGT_medium,0.2266618013381958,0.06539943814277649,0.32456663250923157,0.7813055559190115
