,name,r2,mae,rmse,overfit
0,Tabular,-0.7161677260715695,0.4423870229720461,0.6304111058313994,1.8980538487898162
1,GraphSAGE_shallow,-0.40698330491839396,0.39384866166147536,0.5708059116307671,2.0109548511333397
2,GraphSAGE_medium,-0.23428333892826747,0.3328456184515922,0.5346276593499592,2.8916988506916526
3,GraphSAGE_deep,-0.33553578335174206,0.38031870221946174,0.5561241494598861,1.4825197231011542
4,RelGNN_shallow,-0.3975070500107296,0.3841267071188553,0.5688804300372278,1.2687082396199778
5,RelGNN_medium,-0.5391178501428218,0.3921195999411514,0.5970076933466317,2.147819469635313
6,RelGNN_deep,-0.5417200871704893,0.3973046933335037,0.5975121704462895,1.8047710016071137
7,DBFormer_shallow,-0.44002302103894486,0.4570410450824168,0.5774690432952225,1.0965912881845952
8,DBFormer_medium,-0.23800829673899893,0.46030143508541643,0.5354337810722247,1.0338070141599154
9,DBFormer_deep,-0.6754943989328357,0.4603867390673081,0.6228959116108396,1.0447277688488605
10,RelGT_shallow,-0.36431670723798293,0.36639662803545703,0.56208447354223,1.6275956216639678
11,RelGT_medium,-0.39444718484094166,0.3759815813921333,0.5682573021325313,1.787796937431477
12,RelGT_deep,-0.5901238197046834,0.4085977881432999,0.6068194071511335,2.4503972812849306
13,GraphSAGE-boost,0.04469100320093555,0.37301738095939396,0.47034434206347964,2.666910132038872
14,GraphSAGE-rev_boost,0.021463426520780482,0.38194081457509166,0.47602802485791945,2.6991943410171455
15,RelGNN-boost,-0.019286810993881742,0.38553566887047774,0.4858387967969257,1.6250157074612572
16,RelGNN-rev_boost,0.0005807488093890756,0.39305598023912536,0.48108060179881207,1.699430163816088
17,DBFormer-boost,0.014467882204644567,0.4335939741069101,0.4777265534301378,1.056360933690299
18,DBFormer-rev_boost,-0.09292912099976003,0.4570258253472652,0.5030834020566816,1.0829629397705418
19,RelGT-boost,-0.07940310539901341,0.393256519537869,0.49996064744372287,2.399913935605848
20,RelGT-rev_boost,-0.13585668954173058,0.3914861844004484,0.512868186373237,2.5418373429863306
21,All-shallow,-0.054010223531723245,0.4114168472989738,0.4940448789003965,1.952170539553732
22,Tabular+All-shallow,-0.023070037332632687,0.418576435351834,0.4867395912230934,1.5909367943984325
23,All-medium,-0.02798586876156195,0.39813988318794585,0.48790757695370607,2.2027158413793764
24,Tabular+All-medium,0.011214659033544017,0.4045721330844554,0.4785143870387861,1.7488964289766027
25,All-deep,0.06878979365146021,0.39349769987178346,0.4643739550820059,1.7687980757722737
26,Tabular+All-deep,0.0037419547400677766,0.3949910368713901,0.48031915992132407,2.175592549140071
27,All-boost,0.08708838994461054,0.3979824097489516,0.45978876535686636,1.6732359631508555
28,Tabular+All-boost,0.0994596231965934,0.3955272000114931,0.4566627472924417,1.851386202058344
29,GraphSAGE+RelGNN-boost,0.07133558307831922,0.36234288724752833,0.46373875618084537,1.8321691565027887
30,Tabular+GraphSAGE+RelGNN-boost,-0.052463674710165664,0.3971313395211699,0.4936822899084159,2.0606772186671356
31,GraphSAGE+DBFormer-boost,-0.08568083750536304,0.41056927953814226,0.5014124075501204,1.9719266300503588
32,Tabular+GraphSAGE+DBFormer-boost,-0.10102069059031193,0.41272908186442203,0.504942272663012,1.9663900034569708
33,GraphSAGE+RelGT-boost,-0.023085366972341204,0.3912671844529547,0.48674323785252366,2.6941968926060325
34,Tabular+GraphSAGE+RelGT-boost,0.01868302023596513,0.38243597811450397,0.47670383631920177,2.5589695353191653
35,RelGNN+DBFormer-boost,0.05319446012911977,0.40329903788822885,0.46824633347702854,1.3829219785751232
36,Tabular+RelGNN+DBFormer-boost,-0.08721861297904487,0.4186391464996196,0.5017673861192425,1.5192363627361873
37,RelGNN+RelGT-boost,0.014824815720494211,0.3759229941388946,0.47764003567125735,1.9987626184452632
38,Tabular+RelGNN+RelGT-boost,0.04271389887106802,0.3902605997437968,0.47083080204439937,1.959510798663323
39,DBFormer+RelGT-boost,0.0237016015123086,0.39493842527243184,0.4754833114663561,1.5654596591454149
40,Tabular+DBFormer+RelGT-boost,-0.03732564854774156,0.4005979338147777,0.4901190108173344,1.8234583386695595
