,name,r2,mae,rmse,overfit
0,Tabular,0.13686937547132172,3.9334443343963263,4.8406994486211605,1.1986635928863005
1,GraphSAGE_shallow,-0.1639795960459327,4.470671369715741,5.621374762441667,1.0835849238597473
2,GraphSAGE_medium,-0.07058326676477678,4.343591038260543,5.391133438180718,1.0189667313022142
3,GraphSAGE_deep,0.10637697902133081,4.002067514678888,4.925462648045125,0.8617011439332322
4,RelGNN_shallow,-0.110730850170351,4.570992023359265,5.491288650078248,0.9783175997706
5,RelGNN_medium,-0.11053826848886517,4.493754722570118,5.490812581800953,0.9649461463859925
6,RelGNN_deep,-0.06466880625358762,4.36831349849701,5.3762210968783695,0.9334874947508783
7,DBFormer_shallow,-0.7634766189750175,5.8554248788063985,6.919181275210991,1.2096569136100386
8,DBFormer_medium,-0.13642689121984697,4.600537216579705,5.554444181595508,0.9718654493826411
9,DBFormer_deep,-0.7429554927572752,5.712342401303744,6.878805098590261,1.2332120526775026
10,RelGT_shallow,0.1056385509541562,4.074982435452311,4.927497258124709,0.8194504356063357
11,RelGT_medium,-0.1454684928139809,4.627058114712699,5.576496447062459,0.9196202966110272
12,RelGT_deep,-0.246048699260079,4.729262302632918,5.816173641939457,1.062479339184788
13,GraphSAGE-boost,0.09893564939571398,4.076773584618469,4.9459276566028105,0.9345982487644275
14,GraphSAGE-rev_boost,0.14076398393398815,3.9435498105703144,4.8297660259891355,0.9019174152716418
15,RelGNN-boost,0.08355184137846106,4.073051033712161,4.987969707585212,0.8865877258786765
16,RelGNN-rev_boost,0.04266725390913251,4.160529125061291,5.098017395666973,0.9090556077618729
17,DBFormer-boost,-0.15250668227068775,4.5900479253202695,5.593602257463586,1.0322710495623
18,DBFormer-rev_boost,-0.5045289503277033,5.241051192751934,6.39101931796862,1.1642061678760596
19,RelGT-boost,-0.2083832027542476,4.7069088949946,5.727593607131885,1.08066399141754
20,RelGT-rev_boost,-0.04223362427011934,4.4134539339732966,5.319274418365077,0.993486110319803
21,All-shallow,0.019059866172823292,4.265578564831692,5.1604919813964125,0.9868122099390376
22,Tabular+All-shallow,0.05086944764493362,4.17009763819838,5.076131130260867,0.9776541641486339
23,All-medium,0.019868981235445005,4.263976915979335,5.158363261703991,0.9916575834901209
24,Tabular+All-medium,0.006281916651043273,4.30039633233933,5.193994104565691,1.0251281185210446
25,All-deep,0.03236269342743814,4.2124495235187185,5.125381037519669,0.9373134229099451
26,Tabular+All-deep,0.00910207923778128,4.260075528734304,5.186618614713682,1.0167167573811215
27,All-boost,0.027025746785520943,4.238269594478881,5.139495970564015,0.9649445632612048
28,Tabular+All-boost,0.016711365595999395,4.2587469417300365,5.166665738985992,1.0070691402717238
29,GraphSAGE+RelGNN-boost,0.16196092323146383,3.8879260093264914,4.769820004824493,0.873312860204789
30,Tabular+GraphSAGE+RelGNN-boost,0.1527528645418499,3.933703378275511,4.79595291185828,0.9247563381111479
31,GraphSAGE+DBFormer-boost,-0.052155587427500594,4.391570495923961,5.344533932365367,0.9925796817635744
32,Tabular+GraphSAGE+DBFormer-boost,0.02303754583769624,4.222961433403439,5.150018541448207,1.0158329725439479
33,GraphSAGE+RelGT-boost,0.04402413982397313,4.181038672416935,5.094403249547201,0.9880323421129258
34,Tabular+GraphSAGE+RelGT-boost,0.06600603070409217,4.11576379427708,5.035491785738872,1.0042920646681246
35,RelGNN+DBFormer-boost,-0.13897724757925967,4.586608172546424,5.5606732990898875,1.0167452821863365
36,Tabular+RelGNN+DBFormer-boost,0.04825499326568883,4.187772829756975,5.083117622571232,0.9897011056041287
37,RelGNN+RelGT-boost,0.055554422185697616,4.142909377282195,5.063587563653538,0.9256328969537682
38,Tabular+RelGNN+RelGT-boost,0.10604529810387664,4.06031478729956,4.926376641064934,0.9489261841206551
39,DBFormer+RelGT-boost,-0.018214671965088636,4.344055683717515,5.25762408425029,0.9605156093930789
40,Tabular+DBFormer+RelGT-boost,-0.01811761541311019,4.333295720186539,5.257373499064266,1.006724238504207
