,name,r2,mae,rmse,overfit
0,Tabular,-0.02484247489081004,0.040561430043710565,0.11110792465674456,1.4349421732279533
1,GraphSAGE_shallow,0.07623273822428789,0.03789058982519571,0.10548671324092851,1.3188716576432655
2,GraphSAGE_medium,0.06429561459212174,0.03902482986783725,0.10616608678123228,1.2989248037532874
3,GraphSAGE_deep,0.0505802003110154,0.03911511065172392,0.10694133950514804,1.299108173945979
4,RelGNN_shallow,0.059266015254272775,0.040439378253964424,0.10645103641768675,1.2070578183746483
5,RelGNN_medium,-0.0955738727415445,0.043083946078238594,0.11487811762757946,1.212474045143894
6,RelGNN_deep,-0.10045482351005286,0.04309354567577285,0.11513373311842182,1.2118535769843037
7,DBFormer_shallow,0.03334703033927344,0.038932907667085875,0.10790753507781176,1.2936578451942156
8,DBFormer_medium,0.0667606498273744,0.03859250438637306,0.10602615170399128,1.2860492712134104
9,DBFormer_deep,0.06696098160528607,0.038487269767276705,0.10601477115757743,1.2763359407995494
10,RelGT_shallow,0.09658763251864921,0.035912804748583556,0.10431805790623255,1.2111220978871244
11,RelGT_medium,0.05690909281563594,0.037268579761490304,0.10658430463550113,1.1930817981171646
12,RelGT_deep,0.05811987482949588,0.03738944791358552,0.1065158638283715,1.201744553806651
13,GraphSAGE-boost,0.0799303445138696,0.03869706814613738,0.1052753832610762,1.3269418757144669
14,GraphSAGE-rev_boost,0.08651682020139684,0.03844076375009381,0.10489789056021556,1.3113600722714187
15,RelGNN-boost,0.001364482132576339,0.04107405126604031,0.10967811594137425,1.2231061337225346
16,RelGNN-rev_boost,0.03018415445675715,0.03988939108848703,0.10808392692989574,1.2218321225178983
17,DBFormer-boost,0.09991904878789104,0.03842277063887404,0.10412553903875305,1.2616788644282915
18,DBFormer-rev_boost,0.08011600709546074,0.03853051255213625,0.10526476086664224,1.2775060380088457
19,RelGT-boost,0.13201034033125048,0.03581846896338613,0.10225245717277218,1.1985658754099335
20,RelGT-rev_boost,0.09894348672369113,0.036542200902988514,0.10418195252894277,1.1955128207507824
21,All-shallow,0.17191968946661096,0.03709080635102846,0.09987406040382663,1.1874271462765114
22,All-medium,0.11784848471354825,0.037788015650404266,0.10308324218943178,1.2286695888093622
23,All-deep,0.1042845093313064,0.038927210877813534,0.10387272376146582,1.2485821726497
24,All-boost,0.11286963959631446,0.04032625389586432,0.10337373274118315,1.1113485439893154
25,GraphSAGE+RelGNN-boost,0.02863679531589125,0.03976135914353198,0.1081701175174,1.289816057274708
26,GraphSAGE+DBFormer-boost,0.08596000146950411,0.0384132304366344,0.10492985623484649,1.3002639852643887
27,GraphSAGE+RelGT-boost,0.12974435273199492,0.03668136478993965,0.10238584112077441,1.2861081840279207
28,RelGNN+DBFormer-boost,0.07771216340710141,0.03898861159340035,0.10540221022838939,1.2699597613268714
29,RelGNN+RelGT-boost,0.10567785653190576,0.0369472698711895,0.1037919017265271,1.2378834799728484
30,DBFormer+RelGT-boost,0.1306920173436683,0.036032260385983755,0.10233007942157564,1.239508841664569
